ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
660	"ENSG00000177058.11"	"SLC38A9"	chr5	-	55702738	55702894	55704321	55704434	55697845	55697992	55711451	55711499
661	"ENSG00000170074.19"	"FAM153A"	chr5	-	177729022	177729053	177731568	177731599	177724783	177724821	177732029	177732100
662	"ENSG00000170074.19"	"FAM153A"	chr5	-	177734379	177734404	177744393	177744418	177732029	177732100	177744887	177744967
663	"ENSG00000242808.8"	"SOX2-OT"	chr3	+	181003774	181003933	181030569	181030689	180989772	180989840	181056696	181056786
664	"ENSG00000242808.8"	"SOX2-OT"	chr3	+	181030569	181030689	181056696	181056786	181003774	181003933	181088876	181088917
665	"ENSG00000242808.8"	"SOX2-OT"	chr3	+	181604291	181604340	181610608	181610745	181601310	181601389	181610860	181610929
666	"ENSG00000174306.21"	"ZHX3"	chr20	-	41239597	41239704	41254587	41254635	41238687	41238796	41268989	41269083
667	"ENSG00000211452.10"	"DIO1"	chr1	+	53894438	53894547	53904665	53904809	53894210	53894355	53906094	53906294
668	"ENSG00000118785.13"	"SPP1"	chr4	+	87980045	87980126	87980392	87980434	87977058	87977097	87981474	87981798
669	"ENSG00000113742.12"	"CPEB4"	chr5	+	173932449	173932500	173943025	173943049	173910522	173910604	173944966	173945140
670	"ENSG00000204852.15"	"TCTN1"	chr12	+	110634395	110634463	110634669	110634779	110632471	110632559	110636480	110636501
671	"ENSG00000176358.15"	"TAC4"	chr17	-	49839849	49839909	49841551	49841584	49838308	49838673	49844063	49844157
672	"ENSG00000182473.21"	"EXOC7"	chr17	-	76090328	76090397	76091142	76091235	76089174	76089320	76094413	76094581
673	"ENSG00000168811.6"	"IL12A"	chr3	+	159993011	159993125	159993450	159993492	159990166	159990312	159993567	159993609
674	"ENSG00000155324.9"	"GRAMD3"	chr5	+	126466293	126466336	126469676	126469788	126465425	126465545	126472237	126472304
675	"ENSG00000012660.13"	"ELOVL5"	chr6	-	53287861	53287942	53290400	53290535	53276178	53276256	53291775	53291963
676	"ENSG00000156273.15"	"BACH1"	chr21	+	29218860	29218926	29270356	29270456	29194146	29194260	29321220	29321355
677	"ENSG00000243989.8"	"ACY1"	chr3	+	51985206	51985271	51985360	51985465	51984046	51984158	51985851	51985946
678	"ENSG00000243989.8"	"ACY1"	chr3	+	51985206	51985271	51985400	51985465	51984046	51984158	51985851	51985946
679	"ENSG00000243989.8"	"ACY1"	chr3	+	51985360	51985465	51985851	51985946	51985206	51985271	51986254	51986331
680	"ENSG00000243989.8"	"ACY1"	chr3	+	51986987	51987061	51987308	51987453	51986604	51986661	51987555	51987624
681	"ENSG00000123737.12"	"EXOSC9"	chr4	+	121809833	121809916	121809966	121810073	121807539	121807622	121811582	121811671
682	"ENSG00000123737.12"	"EXOSC9"	chr4	+	121809833	121809916	121809966	121810099	121807539	121807622	121811582	121811671
683	"ENSG00000243069.7"	"RP11-217E22.2"	chr3	-	154108668	154108785	154119685	154119783	154030276	154030379	154121071	154121332
684	"ENSG00000204147.10"	"ASAH2B"	chr10	+	50743672	50743741	50744696	50744732	50742914	50743010	50745127	50745274
685	"ENSG00000051382.8"	"PIK3CB"	chr3	-	138704442	138704493	138707158	138707289	138698906	138699095	138712207	138712304
686	"ENSG00000198625.12"	"MDM4"	chr1	+	204526359	204526434	204537458	204537497	204525483	204525596	204538208	204538308
687	"ENSG00000114054.13"	"PCCB"	chr3	+	136256554	136256623	136260478	136260535	136255855	136255975	136261951	136262065
688	"ENSG00000114054.13"	"PCCB"	chr3	+	136259175	136259235	136260262	136260355	136256554	136256623	136260478	136260535
689	"ENSG00000244687.11"	"UBE2V1"	chr20	-	50098881	50098981	50108972	50109111	50096671	50096820	50113106	50113198
690	"ENSG00000244687.11"	"UBE2V1"	chr20	-	50098881	50098981	50111288	50111562	50096671	50096820	50113106	50113198
691	"ENSG00000244687.11"	"UBE2V1"	chr20	-	50108972	50109111	50111288	50111562	50096671	50096820	50113106	50113198
692	"ENSG00000249959.5"	"RP11-252I13.2"	chr5	-	107705201	107705301	107708886	107708962	107702182	107702307	107710360	107710508
693	"ENSG00000023228.13"	"NDUFS1"	chr2	-	206149817	206149925	206152418	206152510	206149019	206149096	206153617	206153682
694	"ENSG00000255794.7"	"RMST"	chr12	+	97483430	97483488	97491643	97491712	97465667	97465727	97492460	97492606
695	"ENSG00000145087.12"	"STXBP5L"	chr3	+	121324492	121324585	121378715	121378886	121318474	121318540	121381292	121381532
696	"ENSG00000155329.11"	"ZCCHC10"	chr5	-	133011338	133011455	133022840	133022906	133006758	133006920	133026496	133026549
697	"ENSG00000169231.13"	"THBS3"	chr1	-	155203512	155203539	155204854	155204957	155203222	155203305	155205059	155205316
698	"ENSG00000118705.16"	"RPN2"	chr20	+	37198396	37198492	37199049	37199225	37184179	37184373	37203884	37203960
699	"ENSG00000149516.13"	"MS4A3"	chr11	+	60061489	60061554	60062467	60062605	60061145	60061316	60064261	60064318
700	"ENSG00000112812.15"	"PRSS16"	chr6	+	27248846	27248946	27249099	27249229	27247881	27248048	27252807	27252949
701	"ENSG00000242759.6"	"RP11-280F2.2"	chr3	-	107110591	107110653	107114752	107114843	107109789	107110004	107129887	107129991
702	"ENSG00000138468.15"	"SENP7"	chr3	-	101398860	101399055	101417592	101417790	101372007	101372126	101458954	101459052
703	"ENSG00000171877.20"	"FRMD5"	chr15	-	43891980	43892069	43902174	43902262	43888808	43888872	43905827	43905951
704	"ENSG00000124406.16"	"ATP8A1"	chr4	-	42590810	42590884	42594288	42594362	42588259	42588329	42600477	42600518
705	"ENSG00000078070.12"	"MCCC1"	chr3	-	183072365	183072487	183086692	183086788	183071209	183071357	183094558	183094605
706	"ENSG00000186998.15"	"EMID1"	chr22	+	29254202	29254287	29255270	29255361	29243444	29243489	29258816	29259597
707	"ENSG00000130175.9"	"PRKCSH"	chr19	+	11436388	11436505	11436533	11436723	11436040	11436196	11437875	11437971
708	"ENSG00000114861.19"	"FOXP1"	chr3	-	70972010	70972180	70972554	70972676	70970735	70970805	70976940	70977042
709	"ENSG00000120071.13"	"KANSL1"	chr17	-	46156773	46156895	46169530	46169605	46152903	46152966	46170854	46172232
710	"ENSG00000141698.16"	"NT5C3B"	chr17	-	41828789	41828952	41830800	41830890	41827425	41827626	41832391	41832477
711	"ENSG00000157036.12"	"EXOG"	chr3	+	38499680	38499747	38500089	38500164	38497628	38497778	38501354	38501494
712	"ENSG00000255245.4"	"FXYD6-FXYD2"	chr11	-	117840318	117840368	117841147	117841184	117839780	117839830	117841790	117841865
713	"ENSG00000163630.10"	"SYNPR"	chr3	+	63480831	63480956	63556542	63556741	63278676	63278742	63609124	63609316
714	"ENSG00000168065.15"	"SLC22A11"	chr11	+	64568669	64568778	64569651	64569858	64567598	64567813	64570978	64571527
715	"ENSG00000136531.15"	"SCN2A"	chr2	+	165309164	165309256	165309351	165309443	165308665	165308794	165310322	165310595
716	"ENSG00000144524.17"	"COPS7B"	chr2	+	231791732	231791808	231794262	231794351	231788554	231788732	231796105	231796308
717	"ENSG00000270106.6"	"TSNAX-DISC1"	chr1	+	231561127	231561255	231616643	231616906	231542480	231542611	231693825	231694805
718	"ENSG00000157593.18"	"SLC35B2"	chr6	-	44256341	44256496	44256684	44256878	44254095	44255644	44257399	44257554
719	"ENSG00000196923.13"	"PDLIM7"	chr5	-	177491403	177491420	177491806	177491925	177491009	177491146	177492404	177492435
720	"ENSG00000196923.13"	"PDLIM7"	chr5	-	177491403	177491420	177491806	177491976	177491009	177491146	177492404	177492435
721	"ENSG00000088727.12"	"KIF9"	chr3	-	47271236	47271461	47273551	47273658	47267179	47267263	47275324	47275490
722	"ENSG00000152942.18"	"RAD17"	chr5	+	69371453	69371557	69372033	69372217	69371034	69371171	69373829	69374087
723	"ENSG00000152942.18"	"RAD17"	chr5	+	69372033	69372217	69373829	69374087	69371034	69371171	69374627	69374711
724	"ENSG00000104763.18"	"ASAH1"	chr8	-	18069791	18069872	18071299	18071390	18067219	18067298	18075540	18075587
725	"ENSG00000104763.18"	"ASAH1"	chr8	-	18069791	18069878	18071299	18071390	18067219	18067298	18075540	18075587
726	"ENSG00000135951.14"	"TSGA10"	chr2	-	99020279	99020482	99035229	99035439	99018535	99018640	99064938	99065124
727	"ENSG00000143776.18"	"CDC42BPA"	chr1	-	227051880	227051985	227059372	227059411	227047926	227048010	227069776	227069853
728	"ENSG00000143776.18"	"CDC42BPA"	chr1	-	227059372	227059389	227069776	227069853	227047926	227048010	227072207	227072299
729	"ENSG00000139620.12"	"KANSL2"	chr12	-	48660365	48660619	48662559	48662654	48654940	48655060	48667692	48667789
730	"ENSG00000139620.12"	"KANSL2"	chr12	-	48660467	48660619	48662559	48662654	48654940	48655060	48667692	48667789
731	"ENSG00000165802.22"	"NSMF"	chr9	-	137455238	137455307	137455628	137455634	137454390	137454443	137456410	137456486
732	"ENSG00000169432.15"	"SCN9A"	chr2	-	166304030	166304122	166304237	166304329	166303089	166303302	166305791	166305920
733	"ENSG00000157869.14"	"RAB28"	chr4	-	13369870	13369965	13371794	13371867	13367724	13368650	13376544	13376622
734	"ENSG00000123560.13"	"PLP1"	chrX	+	103779848	103779990	103780802	103780910	103776873	103776999	103785581	103785768
735	"ENSG00000103313.12"	"MEFV"	chr16	-	3251956	3252049	3254157	3254790	3249430	3249780	3256310	3256627
736	"ENSG00000258867.5"	"RP11-300J18.3"	chr14	+	88025406	88025481	88037350	88037439	88024549	88024669	88084036	88084155
737	"ENSG00000127990.16"	"SGCE"	chr7	-	94594431	94594546	94597748	94598004	94588688	94588732	94598774	94598963
738	"ENSG00000127990.16"	"SGCE"	chr7	-	94594431	94594546	94597923	94598004	94588688	94588732	94598774	94598963
739	"ENSG00000127990.16"	"SGCE"	chr7	-	94594431	94594546	94597929	94598004	94588688	94588732	94598774	94598963
740	"ENSG00000127990.16"	"SGCE"	chr7	-	94599696	94599723	94600645	94600857	94598774	94598963	94603289	94603452
741	"ENSG00000127990.16"	"SGCE"	chr7	-	94621848	94621995	94622515	94622626	94618757	94618956	94623324	94623397
742	"ENSG00000127990.16"	"SGCE"	chr7	-	94621848	94621995	94622545	94622626	94618757	94618956	94623324	94623397
743	"ENSG00000127990.16"	"SGCE"	chr7	-	94639340	94639448	94644605	94644667	94629718	94629841	94655989	94656186
744	"ENSG00000126456.15"	"IRF3"	chr19	-	49664442	49664673	49664673	49664846	49663342	49663514	49665630	49665705
745	"ENSG00000104808.7"	"DHDH"	chr19	+	48939448	48939701	48942439	48942564	48934999	48935111	48944356	48944507
746	"ENSG00000064787.13"	"BCAS1"	chr20	-	53966905	53967073	53975388	53975430	53953431	53953695	53985286	53985499
747	"ENSG00000068878.14"	"PSME4"	chr2	-	53869375	53869538	53874338	53874494	53866746	53866880	53875626	53875755
748	"ENSG00000111906.17"	"HDDC2"	chr6	-	125292840	125292909	125298649	125298816	125277101	125277240	125300537	125300659
749	"ENSG00000035681.7"	"NSMAF"	chr8	-	58637233	58637389	58639967	58640102	58635467	58635546	58642983	58643073
750	"ENSG00000131089.15"	"ARHGEF9"	chrX	-	63715987	63716119	63722761	63722897	63706257	63706449	63724531	63724711
751	"ENSG00000131089.15"	"ARHGEF9"	chrX	-	63724795	63724846	63732005	63732310	63724531	63724711	63754314	63754676
752	"ENSG00000197721.16"	"CR1L"	chr1	+	207708177	207708263	207715311	207715397	207701518	207701618	207717463	207717691
753	"ENSG00000134759.13"	"ELP2"	chr18	+	36138794	36138872	36139418	36139613	36138269	36138426	36141136	36141201
754	"ENSG00000186007.9"	"LEMD1"	chr1	-	205384287	205384364	205419229	205419352	205381377	205381856	205420454	205420574
755	"ENSG00000163531.15"	"NFASC"	chr1	+	204991291	204991306	205002595	205002748	204988632	204988806	205009556	205009688
756	"ENSG00000259673.5"	"RP11-502I4.1"	chr15	-	67459691	67459975	67466493	67466711	67430320	67430400	67518999	67519102
757	"ENSG00000163161.13"	"ERCC3"	chr2	-	127280897	127280972	127284170	127284289	127280446	127280631	127286702	127287017
758	"ENSG00000006837.11"	"CDKL3"	chr5	-	134308573	134308727	134312291	134312380	134308137	134308466	134319357	134319497
759	"ENSG00000163565.18"	"IFI16"	chr1	+	159045296	159045464	159049431	159049599	159032523	159032691	159051678	159052098
760	"ENSG00000082212.12"	"ME2"	chr18	+	50916167	50916243	50917346	50917508	50912800	50912950	50918109	50918213
761	"ENSG00000154380.17"	"ENAH"	chr1	-	225531045	225531057	225535506	225535563	225530553	225530638	225554905	225555083
762	"ENSG00000242086.8"	"AC069513.3"	chr3	+	195685817	195685939	195686603	195686718	195683749	195683865	195688532	195688797
763	"ENSG00000242086.8"	"AC069513.3"	chr3	+	195689338	195689438	195696360	195696589	195688532	195688797	195699029	195699207
764	"ENSG00000242086.8"	"AC069513.3"	chr3	+	195701379	195701495	195707005	195707126	195699029	195699207	195708133	195708807
765	"ENSG00000242086.8"	"AC069513.3"	chr3	+	195701379	195701495	195708133	195708435	195699029	195699207	195708746	195708807
766	"ENSG00000242086.8"	"AC069513.3"	chr3	+	195717913	195718196	195729342	195729551	195708746	195708841	195729647	195729739
767	"ENSG00000242086.8"	"AC069513.3"	chr3	+	195718026	195718196	195729342	195729551	195708746	195708841	195729647	195729739
768	"ENSG00000214357.8"	"NEURL1B"	chr5	+	172669784	172670330	172683418	172684138	172641265	172641437	172686170	172686296
769	"ENSG00000092208.16"	"GEMIN2"	chr14	+	39124991	39125036	39128279	39128348	39122429	39122543	39131957	39132068
770	"ENSG00000196482.16"	"ESRRG"	chr1	-	216715073	216715249	216865060	216865178	216677075	216677491	216939581	216939673
771	"ENSG00000196482.16"	"ESRRG"	chr1	-	216865060	216865178	216939581	216939673	216677075	216677491	217000252	217000724
772	"ENSG00000108384.14"	"RAD51C"	chr17	+	58720745	58720812	58724039	58724100	58709858	58709990	58732483	58732544
773	"ENSG00000165995.19"	"CACNB2"	chr10	+	18514235	18514369	18514510	18514530	18506470	18506547	18518335	18518416
774	"ENSG00000165995.19"	"CACNB2"	chr10	+	18514235	18514369	18514979	18515041	18506470	18506547	18518335	18518416
775	"ENSG00000165995.19"	"CACNB2"	chr10	+	18514510	18514530	18514979	18515041	18506470	18506547	18518335	18518416
776	"ENSG00000214787.9"	"MS4A4E"	chr11	-	60224964	60225093	60228593	60228627	60214570	60214614	60229911	60230055
777	"ENSG00000057252.12"	"SOAT1"	chr1	+	179302676	179302802	179323436	179323495	179293713	179293936	179335505	179335657
778	"ENSG00000115204.14"	"MPV17"	chr2	-	27312993	27313074	27317077	27317234	27312679	27312772	27322447	27322522
779	"ENSG00000115204.14"	"MPV17"	chr2	-	27312993	27313109	27317077	27317234	27312679	27312772	27322447	27322522
780	"ENSG00000115204.14"	"MPV17"	chr2	-	27312993	27313154	27317077	27317234	27312679	27312772	27322447	27322522
781	"ENSG00000233723.7"	"AC007092.1"	chr2	+	58461777	58461845	58656649	58656711	58428337	58428464	58850429	58850606
782	"ENSG00000233491.7"	"AC010091.1"	chr7	-	81590971	81591066	81594520	81594656	81588852	81588975	81597655	81597826
783	"ENSG00000109255.11"	"NMU"	chr4	-	55605274	55605349	55607297	55607348	55600521	55600575	55607436	55607466
784	"ENSG00000109255.11"	"NMU"	chr4	-	55605274	55605349	55607436	55607466	55600521	55600575	55609119	55609179
785	"ENSG00000231551.8"	"RP11-495P10.1"	chr1	+	148424062	148424189	148424626	148424678	148420371	148420607	148425505	148425664
786	"ENSG00000115355.16"	"CCDC88A"	chr2	-	55303068	55303152	55308808	55309023	55301871	55302072	55309161	55309254
787	"ENSG00000115355.16"	"CCDC88A"	chr2	-	55349517	55349599	55355578	55355751	55346174	55346333	55362307	55362448
788	"ENSG00000115355.16"	"CCDC88A"	chr2	-	55355578	55355751	55362307	55362448	55349517	55349599	55363949	55364033
789	"ENSG00000160688.18"	"FLAD1"	chr1	+	154992564	154992673	154992712	154992786	154990158	154990257	154992901	154993111
790	"ENSG00000160688.18"	"FLAD1"	chr1	+	154992564	154992673	154992712	154992786	154990338	154990528	154992901	154993111
791	"ENSG00000092108.20"	"SCFD1"	chr14	+	30628208	30628279	30630476	30630565	30622318	30622399	30633946	30634037
792	"ENSG00000092108.20"	"SCFD1"	chr14	+	30633946	30634037	30639776	30639864	30630476	30630565	30643315	30643405
793	"ENSG00000158864.12"	"NDUFS2"	chr1	+	161212591	161212654	161213089	161213182	161212350	161212480	161213379	161213475
794	"ENSG00000232234.3"	"RP11-203H2.1"	chr6	+	8260566	8260738	8302933	8303118	8238930	8239016	8307452	8307560
795	"ENSG00000232234.3"	"RP11-203H2.1"	chr6	+	8323530	8323636	8328004	8328277	8307452	8307560	8342324	8342455
796	"ENSG00000115020.16"	"PIKFYVE"	chr2	+	208274020	208274053	208276711	208276830	208273583	208273733	208285725	208285933
797	"ENSG00000105655.18"	"ISYNA1"	chr19	-	18436683	18436877	18437598	18437760	18436329	18436479	18437859	18437988
798	"ENSG00000243970.2"	"PPIEL"	chr1	-	39523561	39523697	39524835	39525057	39522286	39522505	39529054	39529164
799	"ENSG00000243970.2"	"PPIEL"	chr1	-	39549789	39549896	39553117	39553144	39548861	39548951	39554348	39554392
800	"ENSG00000084234.16"	"APLP2"	chr11	+	130100269	130100425	130101925	130102000	130069893	130070082	130109428	130109602
801	"ENSG00000121753.12"	"ADGRB2"	chr1	-	31742837	31743002	31744192	31744357	31742052	31742217	31744647	31744731
802	"ENSG00000186566.12"	"GPATCH8"	chr17	-	44467096	44467114	44473724	44473759	44464471	44464544	44474828	44474903
803	"ENSG00000151067.21"	"CACNA1C"	chr12	+	2504435	2504539	2504841	2504945	2493189	2493386	2512811	2512984
804	"ENSG00000151067.21"	"CACNA1C"	chr12	+	2597229	2597289	2597436	2597496	2595873	2596003	2601853	2601960
805	"ENSG00000151067.21"	"CACNA1C"	chr12	+	2633628	2633712	2634296	2634380	2611902	2612013	2648474	2648507
806	"ENSG00000151067.21"	"CACNA1C"	chr12	+	2634296	2634380	2648474	2648507	2633628	2633712	2651639	2651768
807	"ENSG00000151067.21"	"CACNA1C"	chr12	+	2680362	2680575	2681949	2682054	2679443	2679796	2682549	2682678
808	"ENSG00000101019.21"	"UQCC1"	chr20	-	35384037	35384133	35386276	35386389	35381917	35382025	35394091	35394196
809	"ENSG00000101019.21"	"UQCC1"	chr20	-	35384558	35384644	35392235	35392277	35384037	35384133	35394091	35394196
810	"ENSG00000067225.17"	"PKM"	chr15	-	72202453	72202620	72203021	72203188	72200473	72200655	72206727	72206880
811	"ENSG00000163534.14"	"FCRL1"	chr1	-	157797758	157797820	157797867	157797939	157797100	157797132	157798160	157798243
812	"ENSG00000187554.12"	"TLR5"	chr1	-	223137177	223137263	223141647	223141763	223134681	223134864	223143195	223143248
813	"ENSG00000133313.14"	"CNDP2"	chr18	+	74505848	74506011	74510812	74511013	74501328	74501472	74512447	74512532
814	"ENSG00000158062.20"	"UBXN11"	chr1	-	26294204	26294331	26296918	26296995	26285822	26286037	26297426	26297481
815	"ENSG00000205336.11"	"ADGRG1"	chr16	+	57621690	57621845	57641590	57641708	57620095	57620136	57650252	57650351
816	"ENSG00000124181.14"	"PLCG1"	chr20	+	41174123	41174311	41180503	41180664	41173922	41174011	41182930	41182989
817	"ENSG00000087470.17"	"DNM1L"	chr12	+	32705824	32705863	32706689	32706814	32701414	32701562	32707366	32707413
818	"ENSG00000087470.17"	"DNM1L"	chr12	+	32707366	32707413	32708152	32708224	32701414	32701562	32710928	32711015
819	"ENSG00000087470.17"	"DNM1L"	chr12	+	32710928	32711015	32713208	32713371	32708152	32708224	32718642	32718763
820	"ENSG00000087470.17"	"DNM1L"	chr12	+	32737864	32737942	32738263	32738296	32737104	32737161	32740063	32740240
821	"ENSG00000116604.17"	"MEF2D"	chr1	-	156480642	156480777	156480833	156480971	156479585	156479796	156482436	156482640
822	"ENSG00000135549.14"	"PKIB"	chr6	+	122701061	122701224	122701439	122701500	122675077	122675144	122717786	122717963
823	"ENSG00000163964.14"	"PIGX"	chr3	+	196717808	196717954	196721176	196721356	196716857	196716921	196722414	196722556
824	"ENSG00000135315.11"	"CEP162"	chr6	-	84217798	84217860	84219102	84219214	84215775	84215922	84221056	84221171
825	"ENSG00000134717.17"	"BTF3L4"	chr1	+	52065286	52065408	52083339	52083541	52064824	52064938	52086111	52086171
826	"ENSG00000112303.13"	"VNN2"	chr6	-	132752460	132752749	132753417	132753491	132751144	132751518	132755842	132756035
827	"ENSG00000112303.13"	"VNN2"	chr6	-	132752672	132752749	132753417	132753491	132751144	132751518	132755842	132756035
828	"ENSG00000143452.15"	"HORMAD1"	chr1	-	150711544	150711571	150711832	150711853	150708893	150708961	150714084	150714121
829	"ENSG00000228430.9"	"RP11-15B24.5"	chr9	+	82349803	82349848	82426291	82426376	82281581	82281650	82428198	82428293
830	"ENSG00000228430.9"	"RP11-15B24.5"	chr9	+	82396707	82396800	82426291	82426376	82349803	82349848	82428198	82428293
831	"ENSG00000228430.9"	"RP11-15B24.5"	chr9	+	82396707	82396800	82426981	82427026	82349803	82349848	82428198	82428293
832	"ENSG00000228430.9"	"RP11-15B24.5"	chr9	+	82426291	82426376	82426981	82427026	82349803	82349848	82428198	82428293
833	"ENSG00000228430.9"	"RP11-15B24.5"	chr9	+	82451602	82451729	82453344	82453458	82428198	82428293	82453637	82453803
834	"ENSG00000149269.9"	"PAK1"	chr11	-	77397026	77397158	77408153	77408232	77392330	77392541	77411773	77411933
835	"ENSG00000228956.8"	"AC144521.1"	chr3	+	18472361	18472459	18511531	18511628	18465982	18466039	18526386	18526540
836	"ENSG00000228956.8"	"AC144521.1"	chr3	+	18472361	18472459	18516044	18516178	18465982	18466039	18526386	18526540
837	"ENSG00000228956.8"	"AC144521.1"	chr3	+	18511531	18511628	18516044	18516178	18465982	18466039	18526386	18526540
838	"ENSG00000228956.8"	"AC144521.1"	chr3	+	18527950	18528139	18529980	18530185	18527173	18527326	18585386	18585442
839	"ENSG00000228956.8"	"AC144521.1"	chr3	+	18527950	18528139	18548063	18548193	18527173	18527326	18585386	18585442
840	"ENSG00000228956.8"	"AC144521.1"	chr3	+	18527950	18528139	18568106	18568154	18527173	18527326	18585386	18585442
841	"ENSG00000228956.8"	"AC144521.1"	chr3	+	18529980	18530185	18548063	18548193	18527173	18527326	18585386	18585442
842	"ENSG00000228956.8"	"AC144521.1"	chr3	+	18529980	18530185	18568106	18568154	18527173	18527326	18585386	18585442
843	"ENSG00000228956.8"	"AC144521.1"	chr3	+	18529980	18530185	18548063	18548193	18527173	18527326	18585619	18585762
844	"ENSG00000228956.8"	"AC144521.1"	chr3	+	18529980	18530185	18585386	18585442	18527173	18527326	18585619	18585762
845	"ENSG00000228956.8"	"AC144521.1"	chr3	+	18548063	18548193	18568106	18568154	18527173	18527326	18585386	18585442
846	"ENSG00000228956.8"	"AC144521.1"	chr3	+	18548063	18548193	18585386	18585442	18527173	18527326	18585619	18585762
847	"ENSG00000055070.16"	"SZRD1"	chr1	+	16387501	16387794	16390549	16390626	16367242	16367308	16391374	16391424
848	"ENSG00000284626.1"	"RP11-697E2.13"	chr15	+	90240899	90241724	90244117	90244217	90238491	90238548	90251553	90251594
849	"ENSG00000119787.13"	"ATL2"	chr2	-	38343267	38343512	38354066	38354177	38318884	38319019	38377142	38377262
850	"ENSG00000269713.7"	"NBPF9"	chr1	-	149058924	149059097	149062092	149062265	149058163	149058215	149062861	149062913
851	"ENSG00000269713.7"	"NBPF9"	chr1	-	149082276	149082430	149090204	149090428	149081964	149082174	149090752	149090894
852	"ENSG00000060971.17"	"ACAA1"	chr3	-	38129289	38129388	38131595	38131638	38127785	38127866	38131925	38132005
853	"ENSG00000060971.17"	"ACAA1"	chr3	-	38131925	38132005	38133951	38134009	38129289	38129388	38136591	38136685
854	"ENSG00000178104.19"	"PDE4DIP"	chr1	+	149010442	149010595	149012590	149012776	149009567	149009791	149016298	149016550
855	"ENSG00000135299.16"	"ANKRD6"	chr6	+	89617953	89618031	89621921	89622026	89616558	89616657	89623409	89623544
856	"ENSG00000163870.14"	"TPRA1"	chr3	-	127575402	127575505	127575748	127575809	127575184	127575265	127575939	127576050
857	"ENSG00000080503.23"	"SMARCA2"	chr9	+	2170418	2170472	2181570	2181676	2161685	2161903	2182140	2182242
858	"ENSG00000285053.1"	"RP11-293G6.1"	chr1	+	235335241	235335334	235363013	235363128	235328570	235328778	235367101	235367504
859	"ENSG00000285053.1"	"RP11-293G6.1"	chr1	+	235342835	235342883	235363013	235363128	235342010	235342346	235367101	235367504
860	"ENSG00000155465.18"	"SLC7A7"	chr14	-	22819637	22819756	22821121	22821232	22815319	22815451	22823023	22823072
861	"ENSG00000000419.12"	"DPM1"	chr20	-	50941128	50941209	50942030	50942126	50940864	50940933	50945736	50945762
862	"ENSG00000187630.16"	"DHRS4L2"	chr14	+	23995031	23995133	24001383	24001517	23990181	23990359	24004336	24004392
863	"ENSG00000078403.16"	"MLLT10"	chr10	+	21541262	21541361	21557620	21557824	21538832	21538912	21586293	21586348
864	"ENSG00000078403.16"	"MLLT10"	chr10	+	21541262	21541361	21571974	21572026	21538832	21538912	21586293	21586348
865	"ENSG00000078403.16"	"MLLT10"	chr10	+	21557620	21557824	21571974	21572026	21538832	21538912	21586293	21586348
866	"ENSG00000173575.20"	"CHD2"	chr15	+	92991346	92991430	92991475	92991517	92985497	92985673	92992858	92992998
867	"ENSG00000284523.1"	"RP13-968A2.1"	chr7	-	99299463	99299666	99305588	99305769	99290876	99290976	99319236	99319444
868	"ENSG00000114013.15"	"CD86"	chr3	+	122091600	122091650	122103511	122103847	122055365	122055503	122106197	122106500
869	"ENSG00000124678.17"	"TCP11"	chr6	-	35136106	35136203	35140019	35140225	35129061	35129182	35140746	35140884
870	"ENSG00000124678.17"	"TCP11"	chr6	-	35136106	35136218	35140019	35140225	35129061	35129182	35140746	35140884
871	"ENSG00000124678.17"	"TCP11"	chr6	-	35137690	35137852	35140019	35140225	35136106	35136218	35140746	35140884
872	"ENSG00000124678.17"	"TCP11"	chr6	-	35140019	35140225	35140746	35140884	35136106	35136203	35141204	35141313
873	"ENSG00000132549.18"	"VPS13B"	chr8	+	99507136	99507203	99507769	99507911	99502835	99502950	99511103	99511512
874	"ENSG00000134240.11"	"HMGCS2"	chr1	-	119759117	119759282	119759863	119759989	119757272	119757438	119764171	119764626
875	"ENSG00000166035.10"	"LIPC"	chr15	+	58538332	58538517	58541784	58541967	58431990	58432120	58542533	58542651
876	"ENSG00000158483.15"	"FAM86C1"	chr11	+	71791735	71791819	71793379	71793481	71789782	71789845	71796016	71796166
877	"ENSG00000158483.15"	"FAM86C1"	chr11	+	71791738	71791819	71793379	71793481	71789782	71789845	71796016	71796166
878	"ENSG00000143643.12"	"TTC13"	chr1	-	230936157	230936264	230939385	230939496	230933778	230933861	230940439	230940556
879	"ENSG00000168679.17"	"SLC16A4"	chr1	-	110381651	110381795	110382833	110382966	110380981	110381143	110389236	110389355
880	"ENSG00000039650.11"	"PNKP"	chr19	-	49862184	49862281	49862370	49862463	49862043	49862105	49862537	49862608
881	"ENSG00000162601.9"	"MYSM1"	chr1	-	58668429	58668566	58668631	58668682	58667846	58667921	58668983	58669038
882	"ENSG00000187621.14"	"TCL6"	chr14	+	95662479	95662664	95663255	95663635	95654508	95654626	95669550	95669617
883	"ENSG00000010810.17"	"FYN"	chr6	-	111699514	111699670	111700103	111700268	111696276	111696456	111702884	111703034
884	"ENSG00000060718.21"	"COL11A1"	chr1	-	103025799	103025952	103026215	103026332	103025520	103025613	103031115	103031244
885	"ENSG00000140374.15"	"ETFA"	chr15	-	76284364	76284460	76284804	76284927	76283756	76283825	76285636	76285738
